Question,Choice1,Choice2,Choice3,Choice4,Answer
What is the height in an HD Image?,480,720,1080,240,2
How many corners does a hexagon have?,Three,Four,Five,Six,4
What is the variable type of a? a = 'yes',Integer,Float,String,Character,3
How many oceans are in the world?,Two ,Three,Four,Five,4
Qu'est-ce que HTML ?,Hyper Text Markup Language,High Text Markup Language,Home Tool Markup Language,Hyperlinks and Text Markup Language,1
Qu'est-ce que CSS ?,Cascading Style Sheets,Cascading Script Sheets,Central Style Sheets,Computer Style Sheets,1
Qu'est-ce que Python ?,Un langage de programmation,Une base de données,Un logiciel de traitement de texte,Un navigateur web,1
Qu'est-ce que JavaScript ?,Un langage de programmation pour le web,Une version améliorée de Java,Un système d'exploitation,Un outil de design graphique,1
Qu'est-ce que PHP ?,Un langage de programmation pour le web,Un système de gestion de bases de données,Un système d'exploitation,Un outil de design graphique,1
Qu'est-ce que SQL ?,Structured Query Language,Simple Query Language,Sequential Query Language,Structured Question Language,1
Qu'est-ce que l'intelligence artificielle (IA) ?,La simulation de l'intelligence humaine par les machines,L'automatisation des tâches répétitives,Un langage de programmation avancé,L'utilisation d'algorithmes complexes,1
Qu'est-ce que Git ?,Un système de contrôle de version,Un langage de programmation,Un navigateur web,Un logiciel de traitement de texte,1
Qu'est-ce que le cloud computing ?,La fourniture d'accès à des ressources informatiques à la demande via Internet,L'envoi de courriers électroniques,La sauvegarde de données sur un disque dur externe,La création de réseaux locaux virtuels,1
Qu'est-ce que le Big Data ?,Le traitement et l'analyse de grandes quantités de données,Un langage de programmation orienté objet,La gestion des bases de données relationnelles,La création de sites web dynamiques,1